ticker,stock_name
AEON,이온 바이오파마
AIRI,에어 인더스트리스 그룹
AMBI,앰비파 이멀전시 리스폰스
AMBO,앰보우 에듀케이션 홀딩스 ADR
AREN,아레나 그룹 홀딩스
ARMN,아리스 마이닝
ARMP,아마타 파마슈티컬스
ATCH,아틀라스클리어 홀딩스
ATNM,악티늄 파마슈티컬스
AUST,오스틴 골드
AXIL,악실 브랜즈
AZTR,아지트라
BATL,바탈리온 오일
BEEP,모바일 인프라스트럭쳐
BKTI,BK 테크놀러지
BRBS,블루 리지 뱅크셰어스
BRIA,브릴리아
BURU,누부루
CANF,캔 파이트 바이오파바 ADR
CATX,퍼스펙티브 테라퓨틱스
CCEL,크라이오-셀 인터내셔널
CHEB,청해 애퀴지션 II
CHRO,채널 테라퓨틱스
CLDI,칼리디 바이오테라퓨틱스
CMCL,칼레도니아 마이닝
COHN,코헨 앤 컴퍼니
CPHI,차이나 파마 홀딩스
CTGO,콘탱고 오르
CYBN,사이빈
DMYY,DMY 스퀘어드 테크놀로지 그룹
ELLO,엘로메이 캐피털
ELMD,일렉트로메드
EONR,EON 리소시스
EXOD,엑소더스 무브먼트
FLYX,플라익스클루시브
FOXO,폭소 테크놀로지스
FURY,퓨리 골드 마인스
GENC,젠코 인더스트리스
GLDG,골드마이닝
GORO,골드 리소스
GPUS,하이퍼스케일 데이터
GRAF,Graf Global Corp
GROY,골드 로열티
HCWC,헬시 초이스 웰니스
HUSA,휴스턴 아메리칸 에너지
HYLN,하일리온 홀딩스
IAUX,I-80 골드
INDO,인도네시아 에너지 코퍼레이션
INFU,인퓨시스템즈 홀딩스
INLX,인텔리네틱스
INTT,인테스트
INUV,이누보
ITRG,인테그라 리소시즈
KAPA,카이로스 파르마
KULR,KULR 테크놀로지 그룹
LCTX,리니지 셀 테라퓨틱스
LEGT,레가토 머저 III
LGCY,레가시 에듀케이션
LODE,콤스톡
LXFR,럭스퍼 홀딩스
MAIA,마이아 바이오테크놀로지
MCRP,마이크로폴리스 홀딩
MGLD,메리골드 컴퍼니스
MITQ,무빙 이미지 테크놀로지스
MLSS,마일스톤 사이언티픽
MPTI,M-트론 인더스트리스
MTNB,마티나스 바이오팜 홀딩스
MYND,마인드.ai ADR
NEWP,뉴 퍼시픽 메탈스
NFGC,뉴 파운드 골드
NNVC,나노바이리사이드스
NRXS,뉴락시스
NTIP,네트워크-1 테크놀로지스
OGEN,오라제닉스
OPHC,옵티멈뱅크 홀딩스
OPTT,오션 파워 테크놀로지스
ORLA,올라 마이닝
OSTX,OS 테라퓨틱스
PHGE,바이오MX
PLAG,플래닛 그린 홀딩스
PMNT,퍼펙트 모멘트
REPX,라일리 익스플로레이션 퍼미안
RLGT,레이디언트 로지스틱스
ROLR,하이 롤러 테크놀러지스
RYDE,라이드 그룹
SACH,새켐 캐피털
SATX,새틱스파이 커뮤니케이션스
SCCC,Sachem Capital 7 75 Notes due 2025
SCCD,Sachem Capital 6 00 Notes due 2026
SCCE,Sachem Capital 6 00 Notes due 2027
SCCF,Sachem Capital 7 125 Notes due 2027
SCCG,Sachem Capital 8 00 Notes due 2027
SENS,센서닉스 홀딩스
SLND,사우스랜드 홀딩스
SLSR,솔라리스 리소시스
SOAR,볼라토 그룹
STRW,스트로베리 필즈 리츠
STXS,스테레오택시스
SYNX,실링크스
TOON,카툰 스튜디오스
TOPP,탑포인트 홀딩스
TOPS,탑 십스
TOVX,테리바 바이오로직스
TPET,트리오 퍼트롤리엄
UAMY,유나이티드 스테이츠 앤티모니
UAVS,에이지이글 에어리얼 시스템
UMAC,언유주얼 머신스
USAS,아메리칸 골드 앤 실버
UUUU,에너지 퓨얼스
VENU,베누 홀딩
VNRX,볼리션RX
VTAK,카테터 프레시젼
VZLA,비즐라 실버
XTNT,엑스턴트 메디컬 홀딩스
YCBD,씨비디엠디
ZDGE,젯지
ZONE,클린코어 솔루션스
